split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,13.416666984558105,0.004976478,0.10746569,0.004540059,0.020336162
unknown,11.583333015441895,0.003832249,0.10845727,0.0034835474,0.019208083
unknown,13.083333015441895,0.004738719,0.10826317,0.0047198157,0.016969837
unknown,14.083333015441895,0.0039069755,0.108714096,0.00397553,0.01626745
unknown,6.833333492279053,0.0044479086,0.11061437,0.005177554,0.021720622
unknown,8.0,0.003981982,0.110638894,0.0035595247,0.017424151
unknown,9.583333015441895,0.004133533,0.110014334,0.004024689,0.022339635
unknown,9.083333015441895,0.004121145,0.10955608,0.0036204995,0.051803447
unknown,12.75,0.0041758143,0.109288365,0.0045281616,0.013491258
unknown,15.166666984558105,0.004458975,0.10783357,0.004185758,0.013419896
unknown,11.166666984558105,0.0045800316,0.109534785,0.0052353772,0.012735676
unknown,13.916666984558105,0.0046073715,0.10869074,0.0046073715,0.018444605
unknown,7.916666507720947,0.0040274295,0.10857884,0.0038119871,0.021788158
unknown,8.333333015441895,0.0043277186,0.108099364,0.0047637983,0.030931253
unknown,4.583333492279053,0.004520502,0.10919115,0.0040295515,0.013176735
unknown,10.5,0.004495893,0.10884338,0.0048193024,0.024478095
unknown,4.833333492279053,0.003946769,0.11186971,0.004706438,0.022904862
unknown,9.0,0.0037151221,0.1083881,0.0036038687,0.02265809
unknown,4.166666507720947,0.0045000347,0.10916982,0.005382411,0.038351513
unknown,6.083333492279053,0.00422626,0.11188882,0.004280431,0.043257046
unknown,7.75,0.0041871094,0.10905005,0.004627512,0.013239416
unknown,13.75,0.004119718,0.108240224,0.0048743575,0.030395076
unknown,6.916666507720947,0.0042682216,0.10914086,0.004269302,0.011438505
unknown,11.833333015441895,0.00552069,0.10778542,0.005353638,0.014843191
unknown,6.916666507720947,0.004579822,0.10969595,0.004610345,0.024159
unknown,11.833333015441895,0.0041038534,0.111174576,0.004063685,0.041029308
unknown,6.333333492279053,0.0044702776,0.10802184,0.0050190436,0.021462657
unknown,9.083333015441895,0.0041775513,0.10942271,0.0043088486,0.02213321
unknown,13.75,0.0049553313,0.10844088,0.0054574227,0.0154320095
unknown,13.416666984558105,0.0048070485,0.11072848,0.005078941,0.022184093
unknown,13.75,0.004248143,0.10896912,0.004339523,0.016108096
unknown,12.083333015441895,0.004331723,0.10856856,0.0042376164,0.012801238
unknown,5.583333492279053,0.0044032116,0.107685626,0.0044353567,0.012751968
unknown,5.916666507720947,0.0043261256,0.10921675,0.0046307184,0.03467996
unknown,8.916666984558105,0.0046877177,0.11081666,0.004640256,0.042602774
unknown,7.5,0.0044131614,0.110049985,0.004612471,0.043324217
unknown,6.25,0.0042595,0.10791882,0.004684059,0.015435264
unknown,9.083333015441895,0.0046894266,0.107397705,0.0050755604,0.01950068
unknown,16.91666603088379,0.0041272542,0.108473405,0.004280849,0.018883407
unknown,12.75,0.005749754,0.10630608,0.0067867083,0.014625154
unknown,7.25,0.0048302296,0.10732386,0.0048302296,0.016156621
unknown,12.0,0.003951542,0.10978596,0.0044044494,0.036938798
