trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae
269,138,1.0760000000000002e-05,5.380000000000001e-05,5.380000000000001e-05,2586.101005158,1.0760000000000002e-05,1780657123.3021274,,,,,,,,,,,,,,
269,139,1.0760000000000002e-05,5.380000000000001e-05,5.380000000000001e-05,2588.387045647,1.0760000000000002e-05,1780657125.588213,,,,,,,,,,,,,,
269,140,1.0760000000000002e-05,5.380000000000001e-05,5.380000000000001e-05,2590.673885238,1.0760000000000002e-05,1780657127.8749995,,,,,,,,,,,,,,
269,141,1.0760000000000002e-05,5.380000000000001e-05,5.380000000000001e-05,2592.961081695,1.0760000000000002e-05,1780657130.1623669,,,,,,,,,,,,,,
269,142,,,,2595.24812349,,1780657132.4493666,4.0,0.09607773274183273,,,,,,,,,,,,
279,143,1.1160000000000002e-05,5.580000000000001e-05,5.580000000000001e-05,2677.974255398,1.1160000000000002e-05,1780657215.175385,,,,,,,,,,,,,,
279,144,1.1160000000000002e-05,5.580000000000001e-05,5.580000000000001e-05,2680.276075196,1.1160000000000002e-05,1780657217.4771943,,,,,,,,,,,,,,
279,145,1.1160000000000002e-05,5.580000000000001e-05,5.580000000000001e-05,2682.579093438,1.1160000000000002e-05,1780657219.7802913,,,,,,,,,,,,,,
279,146,1.1160000000000002e-05,5.580000000000001e-05,5.580000000000001e-05,2684.882828818,1.1160000000000002e-05,1780657222.0839846,,,,,,,,,,,,,,
279,147,,,,2687.186487313,,1780657224.387611,4.0,0.10697099566459656,,,,,,,,,,,,
284,148,,,,2756.794264798,,1780657293.9955091,4.0,,0.12863494455814362,17.867000579833984,0.0,0.12863494455814362,21.02536392211914,0.07966005802154541,,,,,,
284,149,,,,2757.304452543,,1780657294.5055375,4.0,,,,,,,,0.0,0.13223646581172943,0.13223646581172943,21.536550521850586,0.03624981641769409,18.28125
289,150,1.156e-05,5.7799999999999995e-05,5.7799999999999995e-05,2794.478709275,1.156e-05,1780657331.6799734,,,,,,,,,,,,,,
289,151,1.156e-05,5.7799999999999995e-05,5.7799999999999995e-05,2796.779130005,1.156e-05,1780657333.9802847,,,,,,,,,,,,,,
289,152,1.156e-05,5.7799999999999995e-05,5.7799999999999995e-05,2799.083718825,1.156e-05,1780657336.2849078,,,,,,,,,,,,,,
289,153,1.156e-05,5.7799999999999995e-05,5.7799999999999995e-05,2801.385711019,1.156e-05,1780657338.5868158,,,,,,,,,,,,,,
289,154,,,,2803.690038526,,1780657340.8913248,5.0,0.1252449005842209,,,,,,,,,,,,
299,155,1.196e-05,5.9800000000000003e-05,5.9800000000000003e-05,2886.574924173,1.196e-05,1780657423.7760272,,,,,,,,,,,,,,
299,156,1.196e-05,5.9800000000000003e-05,5.9800000000000003e-05,2888.874920023,1.196e-05,1780657426.076115,,,,,,,,,,,,,,
299,157,1.196e-05,5.9800000000000003e-05,5.9800000000000003e-05,2891.176962081,1.196e-05,1780657428.3781028,,,,,,,,,,,,,,
299,158,1.196e-05,5.9800000000000003e-05,5.9800000000000003e-05,2893.481160262,1.196e-05,1780657430.6824822,,,,,,,,,,,,,,
299,159,,,,2895.785476021,,1780657432.9866438,5.0,0.1356387734413147,,,,,,,,,,,,
309,160,1.236e-05,6.18e-05,6.18e-05,2978.647257198,1.236e-05,1780657515.8484216,,,,,,,,,,,,,,
309,161,1.236e-05,6.18e-05,6.18e-05,2980.933370049,1.236e-05,1780657518.1345212,,,,,,,,,,,,,,
309,162,1.236e-05,6.18e-05,6.18e-05,2983.221585353,1.236e-05,1780657520.4229062,,,,,,,,,,,,,,
309,163,1.236e-05,6.18e-05,6.18e-05,2985.509233223,1.236e-05,1780657522.7104306,,,,,,,,,,,,,,
309,164,,,,2987.795820628,,1780657524.9970644,5.0,0.09697522968053818,,,,,,,,,,,,
319,165,1.2760000000000001e-05,6.38e-05,6.38e-05,3070.183895497,1.2760000000000001e-05,1780657607.385106,,,,,,,,,,,,,,
319,166,1.2760000000000001e-05,6.38e-05,6.38e-05,3072.472763937,1.2760000000000001e-05,1780657609.6739311,,,,,,,,,,,,,,
319,167,1.2760000000000001e-05,6.38e-05,6.38e-05,3074.76088312,1.2760000000000001e-05,1780657611.9621542,,,,,,,,,,,,,,
319,168,1.2760000000000001e-05,6.38e-05,6.38e-05,3077.049683196,1.2760000000000001e-05,1780657614.250853,,,,,,,,,,,,,,
319,169,,,,3079.339354444,,1780657616.5404792,5.0,0.10821053385734558,,,,,,,,,,,,
329,170,1.3160000000000001e-05,6.58e-05,6.58e-05,3161.721470157,1.3160000000000001e-05,1780657698.9226654,,,,,,,,,,,,,,
